Date,Indoor_Radon_pCi_L,Indoor_Humidity,Indoor_Temp,Outside_Temp,Outside_Pressure,Wind_Speed,Rainfall,Severe_Weather_Warning
2026-03-27,1.42,50.33,64.95,56.1,29.93,5.2,0.0,0
2026-03-28,0.95,40.40,68.39,52.8,29.76,11.9,0.0,0
2026-03-29,2.35,39.48,67.28,58.1,29.99,14.2,0.88,0
2026-03-30,2.48,45.62,65.30,63.8,29.78,11.2,0.36,0
2026-03-31,1.30,53.99,63.55,53.8,30.15,19.8,0.0,0
2026-04-01,0.74,55.14,63.94,54.3,29.8,10.6,0.0,0
2026-04-02,0.92,51.76,64.23,65.7,29.87,13.6,0.0,0
2026-04-03,0.66,58.26,64.16,61.4,30.04,15.3,0.04,0
2026-04-04,0.55,61.43,63.78,54.4,29.74,19.2,0.0,0
2026-04-05,0.96,53.94,66.69,61.0,29.95,10.5,0.0,0
2026-04-06,0.63,47.36,67.40,55.5,30.12,18.3,0.0,0
2026-04-07,0.72,42.97,66.91,56.0,29.68,14.8,0.0,0
2026-04-08,0.75,39.93,66.73,60.7,29.95,11.8,0.0,0
2026-04-09,1.14,46.44,64.10,48.3,29.96,16.1,0.0,0
2026-04-10,0.97,50.38,64.45,49.9,30.04,15.3,0.0,0
2026-04-11,0.68,54.43,57.71,57.4,29.73,12.9,0.42,0
2026-04-12,3.92,53.54,64.90,55.2,29.72,14.8,0.34,0
2026-04-13,7.89,57.93,68.37,63.6,30.0,13.4,0.0,0
2026-04-14,7.17,60.78,68.32,56.8,29.96,14.9,0.0,0
2026-04-15,6.93,71.31,64.66,54.2,29.96,16.5,0.0,0
2026-04-16,7.60,64.83,63.99,71.9,29.97,19.3,0.0,0
2026-04-17,7.21,61.55,63.73,62.3,29.82,10.7,0.0,0
2026-04-18,6.12,63.69,64.12,64.5,29.95,20.8,0.0,0
2026-04-19,8.75,54.66,64.18,56.0,29.96,8.5,0.0,0
2026-04-20,8.22,50.10,65.02,61.7,29.81,13.9,0.0,0
2026-04-21,7.11,48.45,64.21,66.1,30.2,16.1,0.08,0
2026-04-22,6.30,52.72,64.46,59.0,29.99,15.1,0.0,0
2026-04-23,5.39,53.83,64.05,68.6,29.74,12.3,0.08,0
2026-04-24,6.27,58.20,64.74,63.2,30.02,13.5,0.0,0
2026-04-25,6.57,58.29,64.72,65.5,29.77,12.6,0.0,0
2026-04-26,7.40,57.35,64.57,64.0,30.04,12.3,0.3,0
2026-04-27,5.84,56.59,63.87,79.2,30.09,16.5,0.0,0
2026-04-28,5.53,62.10,64.93,68.4,29.8,15.0,0.0,0
2026-04-29,7.44,60.11,64.87,62.5,30.06,11.8,0.0,0
2026-04-30,7.87,55.79,64.44,74.2,29.98,16.5,0.2,0
2026-05-01,8.87,54.12,64.75,62.4,30.04,14.7,0.0,0
2026-05-02,9.86,50.08,63.54,71.3,30.2,16.2,0.0,0
2026-05-03,8.43,49.63,63.34,58.7,29.88,15.5,0.0,0
2026-05-04,7.06,52.13,64.22,62.9,29.81,11.1,0.0,0
2026-05-05,6.56,57.44,65.14,72.4,29.79,11.9,0.0,0
2026-05-06,7.60,57.13,64.27,76.0,29.8,15.7,0.0,0
2026-05-07,7.27,54.78,64.05,73.0,29.91,15.2,0.0,0
2026-05-08,6.20,54.26,64.54,71.6,29.97,13.3,0.0,0
2026-05-09,7.51,56.31,64.59,70.8,29.96,13.6,0.0,0
2026-05-10,6.77,55.33,64.02,64.1,30.04,17.0,0.13,0
2026-05-11,7.26,51.74,63.94,69.0,29.92,11.4,0.59,0
2026-05-12,8.01,50.93,64.72,70.9,30.14,14.7,0.0,0
2026-05-13,7.29,56.26,65.38,80.3,29.88,12.4,0.0,0
2026-05-14,7.28,52.23,65.22,76.3,30.33,12.3,0.0,0
2026-05-15,8.67,54.28,64.97,64.0,30.01,16.2,0.28,0
2026-05-16,7.79,56.05,65.23,76.8,29.79,15.3,0.11,0
2026-05-17,5.47,60.16,65.09,72.8,29.76,15.2,0.05,0
2026-05-18,4.98,56.81,64.27,71.4,29.99,16.6,0.0,0
2026-05-19,4.05,64.57,65.13,79.4,29.89,12.6,0.0,0
2026-05-20,5.64,64.13,65.49,82.2,30.03,14.5,0.0,0
2026-05-21,7.85,62.52,66.24,81.8,29.99,11.5,0.0,0
2026-05-22,9.07,62.62,66.03,71.5,29.91,13.3,0.0,0
2026-05-23,10.20,65.97,65.97,74.9,29.79,11.9,0.0,0
