recorded,RADON_SHORT_TERM_AVG pCi/L,HUMIDITY %,TEMP °F
2026-07-04T00:00:00,3.0,45,72
2026-07-05T00:00:00,3.0,42,73
2026-07-06T00:00:00,3.1,42,74
2026-07-07T00:00:00,3.0,40,75
2026-07-08T00:00:00,2.5,40,74
2026-07-09T00:00:00,2.0,40,73
2026-07-10T00:00:00,2.5,48,70
2026-07-11T00:00:00,6.0,55,65
2026-07-12T00:00:00,9.0,55,65
2026-07-13T00:00:00,7.5,55,64
2026-07-14T00:00:00,6.0,54,64
2026-07-15T00:00:00,3.5,54,64
2026-07-16T00:00:00,2.0,54,64
2026-07-17T00:00:00,2.0,48,66
2026-07-18T00:00:00,4.5,53,65
2026-07-19T00:00:00,3.0,55,64
2026-07-20T00:00:00,3.5,55,64
2026-07-21T00:00:00,4.5,54,66
2026-07-22T00:00:00,7.2,48,67
2026-07-23T00:00:00,5.0,50,68
2026-07-24T00:00:00,4.8,45,69
2026-07-25T00:00:00,3.5,42,69
2026-07-26T00:00:00,2.5,42,68
2026-07-27T00:00:00,6.0,40,69
2026-07-28T00:00:00,4.5,40,70
2026-07-29T00:00:00,3.5,40,69
2026-07-30T00:00:00,3.2,47,70
2026-07-31T00:00:00,3.5,45,70
2026-08-01T00:00:00,5.5,42,70
2026-08-02T00:00:00,5.5,40,68
2026-08-03T00:00:00,5.5,40,67
2026-08-04T00:00:00,5.5,40,67
